id	Spalte	text	Keyword	property	Themenwert
54.13	ti	Ah! quel conte! conte politique et astronomique	politique	isabout	politique
62.11	ti	Le colporteur, histoire morale et critique par M. de Chevrier	morale	isabout	morale
62.33	ti	Émile ou de l’éducation	éducation	isabout	éducation
64.39	ti	Histoire de miss Jenny, écrite & envoyée par elle à milady comtesse de Roscomond, ambassadrice d’Angleterre à la cour de Dannemark, par madame Riccoboni	cour	isabout	cour
65.5	ti	L’éducation du jeune comte D. B***, ses amours avec Emilie de T*** et ses voyages, selon ses propres mémoires, où sont recueillies grand nombre d’histoires modernes & des recherches & découvertes d’antiquités très curieuses accompagnées de plus de cent estampes des plus beaux monuments de Rome. Nouvelle édition augmentée d’observations nouvelles sur les ouvrages de peinture, de sculpture et d’architecture, qui se voient dans cette capitale du monde, par Mr. de Raguenet	éducation	isabout	éducation
65.5	ti	L’éducation du jeune comte D. B***, ses amours avec Emilie de T*** et ses voyages, selon ses propres mémoires, où sont recueillies grand nombre d’histoires modernes & des recherches & découvertes d’antiquités très curieuses accompagnées de plus de cent estampes des plus beaux monuments de Rome. Nouvelle édition augmentée d’observations nouvelles sur les ouvrages de peinture, de sculpture et d’architecture, qui se voient dans cette capitale du monde, par Mr. de Raguenet	voyages	isabout	voyage
65.5	ti	L’éducation du jeune comte D. B***, ses amours avec Emilie de T*** et ses voyages, selon ses propres mémoires, où sont recueillies grand nombre d’histoires modernes & des recherches & découvertes d’antiquités très curieuses accompagnées de plus de cent estampes des plus beaux monuments de Rome. Nouvelle édition augmentée d’observations nouvelles sur les ouvrages de peinture, de sculpture et d’architecture, qui se voient dans cette capitale du monde, par Mr. de Raguenet	amour	isabout	amour
69.57	ti	Les amours de Sapho et de Phaon	amour	isabout	amour
71.25	ti	Les sacrifices de l’amour ou lettres de la vicomtesse de Senanges et du chevalier de Versenay	amour	isabout	amour
72.17	ti	Le diable amoureux, nouvelle espagnole	amour	isabout	amour
72.19	ti	Les malheurs de l’inconstance ou lettres de la marquise de Syrcé et du comte de Mirbelle	malheurs	isabout	malheur
77.57	ti	Lettres de my-lord Rivers à sir Charles Cardigan, entremêlées d’une partie de ses correspondances à Londres pendant son séjour en France, par madame Riccoboni	correspondance	isabout	correspondance littéraire
82.20	ti	Adèle et Théodore ou lettres sur l’éducation, contenant tous les principes relatifs aux trois différens plans d’éducation des princes, des jeunes personnes, & des hommes	éducation	isabout	éducation
83.15	ti	Les époux malheureux ou histoire de monsieur et madame de nouvelle édition, corrigée, augmentée de deux nouvelles parties, qui sont la conclusion de l’histoire, enrichie de belles estampes, &c., par M. d’Arnaud	malheur	isabout	malheur
84.27	ti	Nouveau voyage sentimental	sentimental	isabout	sentiment
84.27	ti	Nouveau voyage sentimental	voyage	isabout	voyage
86.51	ti	Le rideau levé ou l’éducation de Laure	éducation	isabout	éducation
87.54bis	ti	Ainsi finissent les grandes passions ou les dernières amours du chevalier de.....publiées par M. Loaisel de Tréogate	amour	isabout	amour
87.54bis	ti	Ainsi finissent les grandes passions ou les dernières amours du chevalier de.....publiées par M. Loaisel de Tréogate	passion	isabout	passion
89.81	ti	Le crime ou lettres originales, contenant les aventures de César de Perlencour, par l’auteur de L’Aventurier françois & du Philosophe parvenu	crime 	isabout	crime
89.81	ti	Le crime ou lettres originales, contenant les aventures de César de Perlencour, par l’auteur de L’Aventurier françois & du Philosophe parvenu	cour	isabout	cour
90.47	ti	La fin des amours du chevalier de Faublas, par M. Louvet de Couvray	amour	isabout	amour
91.42	ti	Justine ou les malheurs de la vertu	malheurs	isabout	malheur
91.42	ti	Justine ou les malheurs de la vertu	vertu	isabout	vertu
95.20	ti	Les chevaliers du cygne ou la cour de Charlemagne, conte historique et moral, pour servir de suite aux Veillées du château et dont tous les traits qui peuvent faire allusion à la révolution française, sont tirés de l’histoire, par madame de Genlis, auteur du Théâtre d’éducation, d’Adèle et Théodore, etc.	éducation	isabout	éducation
95.20	ti	Les chevaliers du cygne ou la cour de Charlemagne, conte historique et moral, pour servir de suite aux Veillées du château et dont tous les traits qui peuvent faire allusion à la révolution française, sont tirés de l’histoire, par madame de Genlis, auteur du Théâtre d’éducation, d’Adèle et Théodore, etc.	cour	isabout	cour
95.36	ti	Aline et Valcour ou le roman philosophique, écrit à la Bastille un an avant la Révolution de France, orné de quatorze gravures, par le citoyen S***	Révolution	isabout	révolution
95.36	ti	Aline et Valcour ou le roman philosophique, écrit à la Bastille un an avant la Révolution de France, orné de quatorze gravures, par le citoyen S***	cour	isabout	cour
96.18	ti	Les trois femmes, nouvelle, par l’auteur des Lettres de Lausanne, publiée pour le soulagement d’une de ses amies dans le malheur	malheur	isabout	malheur
98.84	ti	L’anti-Justine ou les délices de l’amour, par M. Linguet, av. au et en Parlent., avec LX figures	amour	isabout	amour
99.104	ti	Sophie de Beauregard ou le véritable amour, par L.C.L.G.	amour	isabout	amour
